Frame,X,Y,Visibility,L,Theta
174,643,312,1,2.5,0.0
175,632,320,1,3.336067110300064,-32.509380196891975
176,620,329,1,3.1954307854175568,-47.79362198207072
177,608,329,1,2.8284270763397217,45.00000000020758
178,598,322,1,3.0421741902828217,20.50454345078511
179,589,317,1,3.330532819032669,19.768661483626506
180,578,314,1,2.614849090576172,-8.000511426474274
181,569,312,1,2.643728584051132,-10.870389527560762
182,560,311,1,3.224687844514847,-42.532917829761175
183,563,310,1,3.531856417655945,67.91406681056006
184,581,302,1,3.0754498839378357,-22.52471775896523
185,598,298,1,2.9154761135578156,-30.96375653192819
186,608,297,1,2.765263795852661,-12.491578503387961
187,624,295,1,3.027371570467949,-14.963821167021962
188,639,293,1,3.1486086696386337,-13.105689008915766
189,654,293,1,3.0,0.0
190,668,294,1,2.5,0.0
191,680,296,1,2.877803713083267,40.1844151033483
192,692,298,1,3.160614162683487,20.2935289502406
193,706,302,1,3.0421741902828217,20.50454345078511
194,716,306,1,2.8284270763397217,44.99999999979242
195,727,312,1,3.1456218957901,65.68187049953025
196,738,319,1,2.6438193172216415,-79.119420219878
197,746,311,1,2.881548434495926,-50.28676170912673
198,754,304,1,2.1890043318271637,-75.21108065971505
199,772,294,1,3.6364235281944275,-13.385840559631719
200,769,296,1,3.994380235671997,-3.0375197156292586
201,759,293,1,3.181980460882187,45.000000000079275
202,751,293,1,2.8087088018655777,-15.409959028496537
203,736,293,1,2.5,0.0
204,726,296,1,2.914320021867752,-60.64980066765095
205,719,298,1,2.914320021867752,-60.64980066765095
206,714,301,1,2.614849090576172,-81.99948857321871
207,703,308,1,2.604815699160099,82.86774385163272
208,698,311,1,2.5,0.0
209,694,314,1,2.614849090576172,-81.99948857321871
210,681,326,1,3.189247190952301,-46.31320281911281
211,670,340,1,3.005125641822815,-71.68201741404616
212,666,338,1,2.9154761135578156,30.96375653178286
213,659,334,1,2.6827630773186684,7.916193310104747
214,652,331,1,3.0397999435663223,11.309932474656089
215,646,330,1,2.765263795852661,12.491578503498689
216,0,0,0,-inf,-inf
217,0,0,0,-inf,-inf
218,622,335,1,1.9417469054460526,-68.74477646097074
219,0,0,0,-inf,-inf
220,0,0,0,-inf,-inf
221,585,362,1,2.5680521950125694,-4.307824092025507
222,692,319,1,3.160614162683487,-20.2935289502406
223,702,318,1,3.0397999435663223,-11.309932474576604
224,712,319,1,3.008274585008621,17.923978357256686
225,714,326,1,2.5,89.99999999969829
226,713,332,1,3.0149397999048233,72.97703132197137
227,711,329,1,2.7146732211112976,-64.808601043118
228,711,325,1,2.1859006136655807,-75.59460312851347
229,709,323,1,2.530081406235695,-4.232022831668345
